,City,Lat,Lon,Cloudiness,Date,Humidity,Country,Wind Speed,Max Temp
0,butaritari,3.07,172.79,100,1565578479,75,KI,9.1,82.24
1,kodiak,57.79,-152.41,1,1565578628,49,US,5.82,71.6
2,tazovskiy,67.47,78.7,40,1565578629,74,RU,10.02,44.25
3,east london,-33.02,27.91,20,1565578631,82,ZA,5.7,49.47
4,seljord,59.49,8.63,100,1565578632,93,NO,0.6,57.99
5,hilo,19.73,-155.09,75,1565578633,65,US,10.29,82.4
6,puerto ayora,-0.74,-90.35,0,1565578635,97,EC,1.01,64.99
7,severo-kurilsk,50.68,156.12,59,1565578636,96,RU,14.9,49.47
8,bluff,-46.6,168.33,57,1565578637,74,NZ,10.0,46.99
9,abingdon,51.67,-1.28,40,1565578638,100,GB,3.49,57.0
10,avarua,-21.21,-159.78,96,1565578640,73,CK,5.82,77.0
11,tromso,69.65,18.96,90,1565578641,87,NO,13.87,54.0
12,mount isa,-20.73,139.5,0,1565578642,27,AU,9.17,64.4
13,talakan,50.32,130.37,0,1565578643,49,RU,5.99,76.47
14,yellowknife,62.46,-114.35,20,1565578645,59,CA,5.82,62.6
15,mar del plata,-38.0,-57.56,0,1565578646,87,AR,8.05,51.01
16,ushuaia,-54.8,-68.3,20,1565578489,94,AR,16.11,32.0
17,rio gallegos,-51.62,-69.22,75,1565578649,86,AR,8.05,28.4
18,kapaa,22.08,-159.32,75,1565578650,58,US,8.05,87.8
19,saint anthony,45.02,-93.22,1,1565578651,83,US,4.56,73.0
20,upernavik,72.79,-56.15,81,1565578652,66,GL,9.08,44.07
21,chokurdakh,70.63,147.92,10,1565578654,51,RU,13.04,57.57
22,mahebourg,-20.41,57.7,75,1565578655,83,MU,14.99,71.6
23,saskylakh,71.92,114.08,0,1565578656,39,RU,10.51,73.42
24,chulman,56.85,124.91,0,1565578657,50,RU,2.26,74.5
25,norman wells,65.28,-126.83,75,1565578659,66,CA,2.24,55.4
26,punta arenas,-53.15,-70.92,0,1565578660,73,CL,6.93,26.6
27,praia,14.92,-23.51,75,1565578661,74,CV,5.82,78.8
28,alizai,33.54,70.35,2,1565578663,63,PK,1.66,78.45
29,hermanus,-34.42,19.23,37,1565578664,97,ZA,4.0,51.01
30,rikitea,-23.12,-134.97,100,1565578473,84,PF,17.2,72.87
31,barentu,15.11,37.59,100,1565578666,84,ER,4.0,69.45
32,bambous virieux,-20.34,57.76,75,1565578668,83,MU,14.99,71.6
33,ahipara,-35.17,173.17,89,1565578669,100,NZ,30.38,61.0
34,tasiilaq,65.61,-37.64,0,1565578670,93,GL,6.93,39.2
35,ancud,-41.87,-73.82,90,1565578672,100,CL,1.79,42.8
36,dikson,73.51,80.55,100,1565578521,89,RU,11.1,40.47
37,vaini,-21.2,-175.2,20,1565578674,69,TO,5.82,80.6
38,chuy,-33.7,-53.46,39,1565578676,93,UY,7.18,49.84
39,batagay,67.63,134.63,0,1565578677,35,RU,4.29,76.47
40,synya,65.37,58.04,100,1565578678,78,RU,12.62,41.02
41,port alfred,-33.59,26.89,55,1565578679,68,ZA,5.01,57.0
42,cairns,-16.92,145.77,0,1565578660,36,AU,18.34,78.01
43,provideniya,64.38,-173.3,90,1565578682,87,RU,13.42,55.4
44,port elizabeth,-33.92,25.57,0,1565578683,58,ZA,17.22,57.2
45,aktau,43.65,51.2,0,1565578684,72,KZ,11.18,66.2
46,kruisfontein,-34.0,24.73,0,1565578686,68,ZA,12.35,48.04
47,talara,-4.58,-81.27,0,1565578599,87,PE,23.49,62.8
48,cherskiy,68.75,161.3,36,1565578688,54,RU,14.43,60.1
49,hualmay,-11.1,-77.61,88,1565578449,87,PE,18.25,58.84
50,hithadhoo,-0.6,73.08,100,1565578609,77,MV,15.9,83.67
51,albany,42.65,-73.76,1,1565578420,82,US,6.17,68.0
52,micheweni,-4.97,39.83,13,1565578693,78,TZ,14.36,75.75
53,atar,20.52,-13.05,2,1565578695,32,MR,12.26,88.9
54,steamboat springs,40.48,-106.83,1,1565578696,82,US,4.7,66.2
55,qaanaaq,77.48,-69.36,85,1565578697,75,GL,1.12,40.12
56,namibe,-15.2,12.15,3,1565578699,83,AO,5.37,62.97
57,sao sebastiao,-23.76,-45.41,2,1565578700,85,BR,6.62,69.82
58,tegh,39.56,46.48,28,1565578701,91,AM,5.3,51.45
59,pasighat,28.07,95.33,9,1565578702,52,IN,1.01,90.15
60,te anau,-45.42,167.72,79,1565578704,87,NZ,2.15,41.02
61,new norfolk,-42.78,147.06,75,1565578705,58,AU,14.99,54.0
62,ketchikan,55.34,-131.65,75,1565578706,72,US,11.41,64.4
63,cape town,-33.93,18.42,75,1565578472,93,ZA,3.36,55.0
64,tiksi,71.69,128.87,0,1565578709,59,RU,5.95,60.64
65,nome,64.5,-165.41,90,1565578710,93,US,11.41,59.0
66,jamestown,42.1,-79.24,1,1565578593,72,US,4.7,69.01
67,barrow,71.29,-156.79,90,1565578713,87,US,13.87,44.6
68,clyde river,70.47,-68.59,90,1565578484,100,CA,11.41,41.0
69,college,64.86,-147.8,1,1565578426,37,US,10.29,71.6
70,tigil,57.8,158.67,21,1565578716,72,RU,13.85,59.74
71,taoudenni,22.68,-3.98,66,1565578718,10,ML,5.3,98.97
72,georgetown,6.8,-58.16,40,1565578600,94,GY,4.7,78.8
73,pesochnoye,58.01,39.18,0,1565578721,87,RU,2.53,43.35
74,hobart,-42.88,147.33,75,1565578471,58,AU,14.99,54.0
75,hecun,36.53,114.11,100,1565578723,58,CN,2.1,77.92
76,ribeira grande,38.52,-28.7,69,1565578724,82,PT,11.25,70.17
77,aswan,24.09,32.91,0,1565578726,16,EG,3.0,76.47
78,saint-philippe,-21.36,55.77,75,1565578727,83,RE,20.8,69.8
79,diffa,13.32,12.61,100,1565578728,72,NE,20.65,78.82
80,ternate,0.8,127.4,27,1565578730,84,ID,19.66,80.62
81,atuona,-9.8,-139.03,18,1565578536,79,PF,23.2,79.72
82,san cristobal,7.77,-72.22,47,1565578659,71,VE,5.79,75.75
83,lock haven,41.14,-77.45,40,1565578493,68,US,0.36,66.2
84,celina,40.55,-84.57,75,1565578735,64,US,7.56,73.99
85,san quintin,30.48,-115.95,0,1565578584,73,MX,3.0,55.99
86,kununurra,-15.77,128.73,28,1565578737,13,AU,12.75,82.4
87,luanda,-8.84,13.23,75,1565578638,94,AO,4.7,69.8
88,alenquer,-1.94,-54.74,0,1565578740,88,BR,3.36,78.8
89,yar-sale,66.83,70.83,100,1565578741,73,RU,14.12,47.85
90,lebu,-37.62,-73.65,0,1565578742,82,CL,11.03,51.45
91,longyearbyen,78.22,15.64,40,1565578744,70,SJ,4.7,41.0
92,caramay,10.18,119.24,62,1565578745,76,PH,7.36,83.85
93,fairbanks,64.84,-147.72,1,1565578746,37,US,10.29,70.0
94,rumford,44.55,-70.55,1,1565578748,77,US,3.36,66.2
95,bengkulu,-3.8,102.27,86,1565578460,79,ID,12.82,79.35
96,arkhangelsk,64.54,40.54,0,1565578750,93,RU,4.47,35.6
97,bethel,41.37,-73.41,1,1565578681,82,US,3.31,71.01
98,busselton,-33.65,115.33,0,1565578752,36,AU,21.59,66.99
99,richards bay,-28.78,32.04,46,1565578754,84,ZA,17.47,68.92
100,lere,10.39,8.57,93,1565578755,97,NG,4.36,66.75
101,rosario do sul,-30.26,-54.91,83,1565578756,98,BR,2.64,55.95
102,katsuura,35.13,140.3,75,1565578757,88,JP,4.7,91.99
103,flinders,-34.58,150.86,40,1565578759,39,AU,12.75,64.0
104,agadez,19.75,10.25,7,1565578760,29,NE,12.01,85.84
105,cidreira,-30.18,-50.21,95,1565578761,93,BR,3.83,58.84
106,hasaki,35.73,140.83,75,1565578763,79,JP,6.93,86.0
107,yatou,37.15,122.38,100,1565578764,36,CN,1.99,75.0
108,kamenka,51.32,42.77,72,1565578765,93,RU,1.99,51.01
109,kirakira,-10.45,161.92,87,1565578766,70,SB,4.21,84.22
110,durban,-29.86,31.03,75,1565578768,93,ZA,4.7,62.6
111,ewa beach,21.32,-158.01,90,1565578769,69,US,6.93,89.6
112,isangel,-19.55,169.27,74,1565578770,83,VU,3.09,78.64
113,faanui,-16.48,-151.75,0,1565578772,81,PF,12.59,79.35
114,caldas da rainha,39.4,-9.14,20,1565578773,87,PT,9.17,61.0
115,melfort,52.87,-104.62,1,1565578774,77,CA,2.24,60.8
116,bacolod,8.12,123.92,67,1565578775,65,PH,5.99,85.84
117,charters towers,-20.1,146.27,0,1565578777,19,AU,8.68,68.02
118,jha jha,24.77,86.37,71,1565578778,59,IN,7.87,91.42
119,ust-tsilma,65.44,52.15,3,1565578779,79,RU,8.41,39.57
120,ponta do sol,32.67,-17.1,75,1565578781,78,PT,11.41,71.6
121,samarai,-10.62,150.67,100,1565578782,95,PG,7.07,73.24
122,castro,-24.79,-50.01,90,1565578783,83,BR,2.42,60.27
123,waipawa,-41.41,175.52,100,1565578785,93,NZ,2.24,52.0
124,srostki,52.42,85.7,0,1565578786,54,RU,4.85,66.57
125,itaituba,-4.28,-55.98,0,1565578787,56,BR,1.1,73.6
126,thompson,55.74,-97.86,5,1565578517,59,CA,3.36,60.8
127,nanortalik,60.14,-45.24,45,1565578790,73,GL,10.6,44.97
128,pokrovsk,61.48,129.13,74,1565578791,70,RU,6.17,61.54
129,jos,9.92,8.9,100,1565578792,97,NG,3.83,66.57
130,iqaluit,63.75,-68.51,20,1565578793,86,CA,7.96,41.0
131,yumen,40.28,97.2,100,1565578795,21,CN,17.31,82.95
132,tuktoyaktuk,69.45,-133.04,90,1565578796,93,CA,28.86,44.6
133,sao filipe,14.9,-24.5,0,1565578797,86,CV,17.74,75.4
134,codrington,-38.27,141.97,96,1565578799,42,AU,5.99,54.0
135,broome,-17.97,122.23,0,1565578800,13,AU,11.41,86.0
136,ankang,32.68,109.02,0,1565578801,36,CN,1.3,87.45
137,saint-louis,16.02,-16.49,15,1565578807,86,SN,16.96,77.37
138,ojinaga,29.57,-104.42,1,1565578815,26,MX,3.36,93.2
139,elko,40.83,-115.76,1,1565578818,16,US,6.93,77.0
140,mitsamiouli,-11.38,43.28,0,1565578535,70,KM,11.92,77.74
141,portland,45.52,-122.68,20,1565578555,49,US,6.93,73.4
142,bulaevo,54.91,70.44,100,1565578823,67,KZ,9.53,68.55
143,nangong,37.36,115.37,100,1565578824,74,CN,2.42,78.27
144,bubaque,11.28,-15.83,100,1565578825,88,GW,18.84,77.74
145,alofi,-19.06,-169.92,0,1565578827,74,NU,12.75,80.6
146,batemans bay,-35.72,150.18,0,1565578828,76,AU,4.0,63.0
147,nova russas,-4.71,-40.56,0,1565578623,50,BR,7.05,73.05
148,izumo,35.37,132.77,75,1565578830,52,JP,8.05,91.4
149,khorixas,-20.37,14.97,0,1565578832,45,NA,1.34,54.7
150,pitimbu,-7.47,-34.81,20,1565578833,94,BR,3.36,73.4
151,pangnirtung,66.15,-65.71,36,1565578834,78,CA,2.21,41.92
152,kortkeros,61.81,51.58,75,1565578835,81,RU,13.42,45.0
153,dabola,10.75,-11.12,63,1565578837,98,GN,3.98,65.85
154,thunder bay,48.4,-89.32,20,1565578838,52,CA,3.36,66.2
155,pisco,-13.7,-76.22,40,1565578839,82,PE,5.82,60.8
156,kovur,14.48,79.98,100,1565578840,58,IN,16.4,85.12
157,ashington,50.93,-0.39,0,1565578842,100,GB,3.36,60.01
158,burgeo,47.62,-57.62,65,1565578843,96,CA,10.83,52.17
159,sokolo,14.73,-6.12,99,1565578844,71,ML,8.99,78.82
160,labuhan,-6.88,112.21,0,1565578846,47,ID,9.66,87.1
161,grindavik,63.84,-22.43,75,1565578847,76,IS,18.34,48.2
162,baker city,44.77,-117.83,90,1565578800,56,US,10.29,68.0
163,machinga,-15.17,35.3,0,1565578849,74,MW,2.51,58.84
164,constitucion,-35.33,-72.42,20,1565578851,89,CL,3.56,45.15
165,coquimbo,-29.95,-71.34,0,1565578852,76,CL,5.82,51.8
166,barra patuca,15.8,-84.28,31,1565578853,75,HN,13.91,84.22
167,nanae,41.88,140.68,75,1565578855,83,JP,6.93,73.4
168,xalpatlahuac,17.47,-98.62,100,1565578856,95,MX,5.61,63.52
169,lompoc,34.64,-120.46,90,1565578858,87,US,8.05,66.0
170,saint-augustin,51.23,-58.65,53,1565578859,96,CA,2.64,54.34
171,tiznit,29.58,-9.5,0,1565578860,76,MA,6.98,67.12
172,husavik,66.04,-17.34,90,1565578861,80,IS,9.17,41.0
173,mlawa,53.11,20.38,28,1565578863,76,PL,8.77,62.01
174,bredasdorp,-34.53,20.04,6,1565578864,76,ZA,8.05,53.6
175,alvaraes,-3.22,-64.8,89,1565578865,73,BR,3.24,77.92
176,nakhon thai,17.1,100.84,75,1565578867,78,TH,6.93,80.6
177,socorro,31.65,-106.3,1,1565578868,35,US,6.93,89.6
178,souillac,-20.52,57.52,75,1565578869,83,MU,14.99,71.6
179,santa maria,-29.68,-53.81,75,1565578871,87,BR,3.36,59.0
180,shamary,57.34,58.22,100,1565578872,98,RU,1.66,56.5
181,vardo,70.37,31.11,75,1565578873,100,NO,6.93,48.2
182,deputatskiy,69.3,139.9,13,1565578874,37,RU,15.5,67.3
183,vestmanna,62.16,-7.17,0,1565578876,100,FO,8.05,46.4
184,ylivieska,64.08,24.67,100,1565578877,94,FI,4.0,57.0
185,bandarbeyla,9.49,50.81,12,1565578878,62,SO,31.36,75.57
186,skibbereen,51.55,-9.27,40,1565578880,93,IE,6.93,48.2
187,san mateo del mar,16.2,-95.0,24,1565578881,82,MX,3.4,79.72
188,hambantota,6.12,81.12,20,1565578716,83,LK,8.05,82.4
189,iralaya,15.0,-83.23,39,1565578884,88,HN,2.42,77.2
190,port shepstone,-30.74,30.45,100,1565578631,80,ZA,6.85,57.57
191,anadyr,64.75,177.48,90,1565578886,93,RU,13.42,51.8
192,sorland,67.67,12.69,52,1565578887,78,NO,9.22,58.3
193,hastings,50.86,0.57,0,1565578889,100,GB,3.36,61.0
194,kattivakkam,13.22,80.32,100,1565578890,55,IN,13.87,91.4
195,vinh,18.67,105.67,77,1565578891,64,VN,6.49,88.35
196,humaita,-7.51,-63.02,0,1565578892,42,BR,1.95,76.47
197,arraial do cabo,-22.97,-42.03,0,1565578894,90,BR,5.08,70.17
198,turukhansk,65.82,87.98,100,1565578895,86,RU,12.71,49.3
199,muisne,0.6,-80.03,1,1565578896,80,EC,11.65,74.32
200,fare,-16.7,-151.02,3,1565578897,82,PF,11.83,79.17
201,el jicaro,14.92,-89.9,22,1565578899,97,GT,4.21,64.95
202,bilibino,68.05,166.44,72,1565578900,44,RU,4.32,66.75
203,awjilah,29.11,21.29,0,1565578901,90,LY,10.45,72.15
204,luderitz,-26.65,15.16,0,1565578902,82,NA,14.99,55.4
205,maneadero,31.72,-116.57,44,1565578904,85,MX,1.01,66.99
206,dunmore east,52.15,-6.99,95,1565578905,91,IE,3.91,52.0
207,nikki,9.94,3.21,34,1565578907,97,BJ,5.08,70.0
208,berlevag,70.86,29.09,100,1565578648,95,NO,12.75,48.75
209,macia,-25.03,33.1,0,1565578909,54,MZ,5.7,65.67
210,san jose de ocoa,18.55,-70.5,2,1565578911,80,DO,4.0,82.0
211,bulungu,-4.55,18.6,99,1565578912,56,CD,2.37,80.44
212,coihaique,-45.58,-72.07,90,1565578913,98,CL,9.17,39.2
213,yumbel,-37.08,-72.57,40,1565578914,87,CL,6.93,50.0
214,inirida,3.87,-67.92,8,1565578916,90,CO,0.72,73.42
215,sioux lookout,50.1,-91.92,20,1565578917,76,CA,3.36,62.6
216,san patricio,19.22,-104.7,75,1565578918,66,MX,1.79,91.4
217,talnakh,69.49,88.4,90,1565578920,100,RU,8.95,53.6
218,beloha,-25.17,45.05,0,1565578921,68,MG,8.01,65.67
219,laguna,38.42,-121.42,1,1565578922,32,US,10.67,87.8
220,beringovskiy,63.05,179.32,95,1565578923,80,RU,6.35,55.05
221,hami,42.8,93.45,0,1565578925,89,CN,3.53,71.01
222,mount gambier,-37.83,140.77,90,1565578926,71,AU,5.82,51.8
223,tambo,-14.8,-73.92,0,1565578927,35,PE,2.73,44.44
224,sinegorye,62.08,150.48,100,1565578929,61,RU,11.81,63.7
225,varzea da palma,-17.6,-44.73,0,1565578930,62,BR,0.83,64.77
226,vestmannaeyjar,63.44,-20.27,100,1565578931,77,IS,28.43,46.42
227,lasa,46.62,10.7,75,1565578932,100,IT,2.24,64.0
228,lackawanna,42.83,-78.82,1,1565578934,88,US,8.05,72.0
229,hue,16.47,107.6,40,1565578935,44,VN,3.36,98.6
230,poso,-1.4,120.75,100,1565578822,52,ID,3.96,78.45
231,pevek,69.7,170.31,9,1565578938,93,RU,27.96,36.7
232,kamaishi,39.27,141.88,75,1565578939,83,JP,4.7,78.8
233,chalmette,29.94,-89.96,1,1565578681,88,US,4.68,86.0
234,goderich,43.75,-81.72,0,1565578942,80,CA,10.74,73.0
235,paamiut,61.99,-49.67,78,1565578943,74,GL,9.98,45.15
236,vidim,56.41,103.11,74,1565578944,69,RU,11.68,59.74
237,fortuna,40.6,-124.16,1,1565578945,82,US,12.75,66.0
238,matane,48.83,-67.52,40,1565578810,72,CA,10.29,61.0
239,pinega,64.7,43.39,29,1565578948,80,RU,0.45,39.22
240,gombong,-7.61,109.51,44,1565578949,47,ID,3.18,86.37
241,kahului,20.89,-156.47,40,1565578869,49,US,18.34,91.4
242,coihueco,-36.62,-71.83,51,1565578952,100,CL,5.82,41.0
243,auki,-8.77,160.7,74,1565578953,73,SB,6.35,84.04
244,florida ridge,27.58,-80.39,1,1565578714,94,US,6.42,80.6
245,baishishan,43.58,127.57,100,1565578956,98,CN,3.13,68.2
246,natal,-5.79,-35.21,40,1565578957,83,BR,6.93,73.4
247,salalah,17.02,54.09,75,1565578958,94,OM,2.24,77.0
248,kholmogory,64.22,41.66,0,1565578960,93,RU,4.47,35.6
249,lavrentiya,65.58,-171.0,100,1565578806,97,RU,5.99,47.67
250,snezhnogorsk,69.19,33.25,0,1565578962,71,RU,4.47,51.8
251,victoria,48.43,-123.37,90,1565578962,93,CA,7.29,69.01
252,bonthe,7.53,-12.51,99,1565578965,85,SL,12.17,77.37
253,tura,25.52,90.22,82,1565578762,70,IN,2.24,90.87
254,half moon bay,37.46,-122.43,1,1565578967,82,US,13.87,77.0
255,opportunity,47.65,-117.24,75,1565578968,87,US,8.05,63.0
256,honiara,-9.43,159.95,20,1565578969,66,SB,8.05,89.6
257,luangwa,-15.62,30.42,0,1565578971,82,ZM,2.35,55.77
258,cap-aux-meules,47.38,-61.86,75,1565578972,82,CA,8.05,62.6
259,atambua,-9.11,124.89,14,1565578973,67,ID,10.25,79.35
260,kailua,21.4,-157.74,90,1565578975,69,US,6.93,89.6
261,abu dhabi,24.47,54.37,0,1565578976,63,AE,2.24,93.2
262,illapel,-31.63,-71.17,0,1565578977,92,CL,6.06,43.9
